Deal_title,Lead_name,Industry,Deal_value,Weighted_amount,Date_of_creation,Pitch,Contact_no,Lead_revenue,Fund_category,Geography,Location,POC_name,Designation,Lead_POC_email,Hiring_candidate_role,Lead_source,Level_of_meeting,Last_lead_update,Internal_POC,Resource,Internal_rating,Success_probability
TitleM5DZY,"Davis, Perkins and Bishop Inc",Restaurants,320506$,2067263.7$,2020-03-29,Product_2,607.447.7883,50 - 100 Million,Category 2,USA,"Killeen-Temple, TX",Charlene Werner,Executive Vice President,charlenewerner@davis.com,Community pharmacist,Website,Level 3,No track,"Davis,Sharrice A",,3,73.6
TitleKIW18,Bender PLC LLC,Construction Services,39488$,240876.8$,2019-07-10,Product_2,892-938-9493,500 Million - 1 Billion,Category 4,India,Ratlam,rakhi,Chairman/CEO/President,terrylogan@bender.com,Recruitment consultant,Others,Level 1,Did not hear back after Level 1,"Brown,Maxine A",No,5,58.900000000000006
TitleFXSDN,Carter-Henry and Sons,Hospitals/Clinics,359392$,2407926.4$,2019-07-27,Product_1,538.748.2271,500 Million - 1 Billion,Category 4,USA,"Albany-Schenectady-Troy, NY",Ariel Hamilton,SVP/General Counsel ,arielhamilton@carterhenry.com,Health service manager,Marketing Event,Level 1,?,"Georgakopoulos,Vasilios T",No,4,68.8
TitlePSK4Y,Garcia Ltd Ltd,Real Estate,76774$,468321.4$,2021-01-30,Product_2,(692)052-1389x75188,500 Million - 1 Billion,Category 3,USA,"Mount Vernon-Anacortes, WA",Erin Wilson,CEO/Co-Founder/Chairman,erinwilson@garcia.com,"Therapist, speech and language",Contact Email,Level 2,Did not hear back after Level 1,"Brown,Maxine A",We have all the requirements,1,64.5
Title904GV,Lee and Sons PLC,Financial Services,483896$,,2019-05-22,Product_2,001-878-814-6134x015,50 - 100 Million,Category 3,India,Shimoga,kavita,Executive Vice President,mr.christopher@lee.com,Media planner,Website,Level 2,Up-to-date,"Thomas,Lori E",No,4,62.400000000000006
Title00VOR,Chavez Ltd Inc,Banks,418674$,2637646.2$,2019-06-30,Product_1,(418)259-9934x952,50 - 100 Million,Category 2,India,Bulandshahr,kamla devi,CEO/Co-Founder/Chairman,crystalchavez@chavez.com,Microbiologist,Marketing Event,Level 3,2 days back,"Featherstone,Adrian R",Deliverable,3,66.3
TitleOZQRY,Williamson LLC and Sons,Banks,384356$,2709709.8$,2019-11-20,Product_2,(881)077-4692,500 Million - 1 Billion,Category 1,,"Salisbury, MD-DE",Sara Dixon,CEO/Co-Founder/Chairman,saradixon@williamson.com,Cartographer,Contact Email,Level 3,More than 2 weeks,"Booker,David L",,4,73.4
TitleV05WV,"Livingston, York and Adams Group",Architecture/Engineering,245205$,1642873.5$,2020-12-22,Product_2,953.762.9149,500 Million - 1 Billion,Category 1,USA,"Jacksonville, FL",Christian Stanley,Vice President / GM (04-present) : VP Sales and Marketing (01-04),christianstanley@livingston.com,"Engineer, maintenance (IT)",Others,Level 2,5 days back,"Cashin,Marc C",No,5,74.1
TitleC2RNN,Powers Ltd Inc,Education/Training,343280$,1991024.0$,2019-01-08,Product_1,(566)194-6345,100 - 500 Million,Category 3,USA,"Seattle-Tacoma-Bellevue, WA",Joseph Thompson,Chairman/Chief Innovation Officer,josephthompson@powers.com,Product/process development scientist,Contact Email,Level 1,No track,"Van Arter,Derrick",We have all the requirements,2,61.400000000000006
TitleDZT40,Shea Group PLC,REIT,293611$,1791027.1$,2020-07-04,Product_1,(292)819-5746,500 Million - 1 Billion,Category 3,USA,"Clarksville, TN-KY",William Grimes,CEO,williamgrimes@shea.com,Engineering geologist,Contact Email,Level 1,more than a month,"Hanyok,John J",Deliverable,4,66.0
TitleP5EAQ,Bradley-Willis Group,Healthcare Facilities/Services,311125$,1851193.75$,2020-01-30,Product_1,466.038.3610x6981,500 Million - 1 Billion,Category 2,,"Oxnard-Thousand Oaks-Ventura, CA",Tamara Sanchez,CEO/Co-Founder/Chairman,tamarasanchez@bradleywillis.com,Hydrogeologist,Website,Level 1,Following up but lead not responding,"Clavey,Therese A",Cannot deliver,2,67.9
TitleF7U5U,Hancock-Zimmerman Ltd,Hotels/Motels,7819$,45741.15$,2019-07-22,Product_1,(589)878-8278x455,50 - 100 Million,Category 1,USA,"Lafayette, LA",Frank Jones,Chairman/CEO/President,frankjones@hancockzimmerman.com,"Scientist, audiological",Others,Level 2,Up-to-date,"Hameier,Kurt E",Not enough,1,63.900000000000006
TitleOGCTY,Weaver Group Inc,Biotech/Healthcare,222331$,1400685.3$,2020-03-27,Product_2,262-729-7106,100 - 500 Million,Category 2,USA,"Danville, IL",Frank Ali,Vice President / GM (04-present) : VP Sales and Marketing (01-04),frankali@weaver.com,Speech and language therapist,Marketing Event,Level 1,,"Maine,John P",Cannot deliver,5,71.5
TitleNQKU6,Fowler-Medina and Sons,Banks,487351$,,2020-04-25,Product_1,001-149-287-9330x6974,500 Million - 1 Billion,Category 3,,Pilibhit,saaniya,Chairman/Chief Innovation Officer,raymondpeters@fowlermedina.com,Hospital doctor,Marketing Event,Level 3,More than a week back,"Shelton,Sidney P",We have all the requirements,2,26.35
